question,answer
how to stop taking bisoprolol,"Abrupt Cessation of Therapy: Exacerbation of angina pectoris, and, in some instances, myocardial infarction or ventricular arrhythmia, have been observed in patients with coronary artery disease following abrupt cessation of therapy with beta-blockers. Such patients should, therefore, be cautioned against interruption or discontinuation of therapy without the physician's advice. Even in patients without overt coronary artery disease, it may be advisable to taper therapy with BISOPROLOL FUMARATE over approximately one week with the patient under careful observation. If withdrawal symptoms occur, BISOPROLOL FUMARATE therapy should be reinstituted, at least temporarily."
what type of drug is amphetamine,"Amphetamine (Adzenys ER, Adzenys XR, Dyanavel XR, Evekeo) is used as part of a treatment program to control symptoms of attention deficit hyperactivity disorder (ADHD; more difficulty focusing, controlling actions, and remaining still or quiet than other people who are the same age) in adults and children. Amphetamine (Evekeo) is used to treat narcolepsy (a sleep disorder that causes excessive daytime sleepiness and sudden attacks of sleep). Amphetamine (Evekeo) is also used for a limited period of time (a few weeks) along with a reduced calorie diet and an exercise plan for weight loss in obese people unable to lose weight. Amphetamine is in a class of medications called central nervous system stimulants. It works by changing the amounts of certain natural substances in the brain."
shingles vaccine how often,The recommended schedule for live shingles vaccine is a single dose for adults 60 years of age and older.
how other inject cortisone to the knee,"A steroid injection is a shot of medicine used to relieve a swollen or inflamed area that is often painful. It can be injected into a joint, tendon, or bursa.

Description
Your health care provider inserts a small needle and injects medicine into the painful and inflamed area. Depending on the site, your provider may use an x-ray or ultrasound to see where to place the needle.

For this procedure:

You will lie on a table and the injection area will be cleaned.
A numbing medicine may be applied to the injection site.
You may be given medicine to help you relax.
Steroid injections can be given into a bursa, joint, or tendon."
how many tums aday,•do not take more than 15 tablets in 24 hours•if pregnant do not take more than 10 tablets in 24 hours•do not use the maximum dosage for more than 2 weeks except under the advice and supervision of a doctor
what is u02 medicine,"imipramine pamoate, Hydrocodone Bitartrate and Acetaminophen"
how often can a prescription of fentanyl be called in,"Fentanyl comes as four different transmucosal products and several other types of products. The medication in each product is absorbed differently by the body, so one product cannot be substituted for any other fentanyl product. If you are switching from one product to another, your doctor will prescribe a dose that is best for you.

A program has been set up for each fentanyl product to decrease the risk of using the medication. Your doctor will need to enroll in the program in order to prescribe fentanyl and you will need to have your prescription filled at a pharmacy that is enrolled in the program. As part of the program, your doctor will talk with you about the risks and benefits of using fentanyl and about how to safely use, store, and dispose of the medication. After you talk with your doctor, you will sign a form acknowledging that you understand the risks of using fentanyl and that you will follow your doctor's instructions to use the medication safely. Your doctor will give you more information about the program and how to get your medication and will answer any questions you have about the program and your treatment with fentanyl."
what is a normal dosage of klonopin,"Seizure Disorders
The use of multiple anticonvulsants may result in an increase of CNS depressant adverse effects. This should be considered before adding Klonopin to an existing anticonvulsant regimen.

Adults

The initial dose for adults with seizure disorders should not exceed 1.5 mg/day divided into three doses. Dosage may be increased in increments of 0.5 to 1 mg every 3 days until seizures are adequately controlled or until side effects preclude any further increase. Maintenance dosage must be individualized for each patient depending upon response. Maximum recommended daily dose is 20 mg."
what is the medication riva-clonazepam,"Clonazepam is used alone or in combination with other medications to control certain types of seizures. It is also used to relieve panic attacks (sudden, unexpected attacks of extreme fear and worry about these attacks). Clonazepam is in a class of medications called benzodiazepines. It works by decreasing abnormal electrical activity in the brain."
when is the best time to take lotensin,The morning administration is preferable because it more effectively covers the whole 24 hours than an evening dose
chlorpheniramine how long in system,"Chlorpheniramine has a serum half-life of approximately 20 hours in adults, and elimination from the body is primarily by metabolism to monodesmethyl and didesmethyl compounds. The half-life is increased in the presence of renal dysfunction and decreased in children. The exact mechanism of the presystemic first-pass elimination and the effects of dose levels on the process presently are unclear. Biopharmaceutical and pharmacokinetic studies after single or multiple doses in humans reveal wide interindividual variations in pharmacokinetics. Age, dialysis, urinary pH and flow influence the elimination kinetics of chlorpheniramine."
what happens when you mix cymbalta with muscle relaxes,"CNS Acting Drugs — Given the primary CNS effects of CYMBALTA, it should be used with caution when it is taken in combination with or substituted for other centrally acting drugs, including those with a similar mechanism of action [see Warnings and Precautions (5.12) and Drug Interactions (7.16)]."
what is the max dose of oral iron supplement for senior citizen,"Table 1 lists the current iron RDAs for nonvegetarians. The RDAs for vegetarians are 1.8 times higher than for people who eat meat. This is because heme iron from meat is more bioavailable than nonheme iron from plant-based foods, and meat, poultry, and seafood increase the absorption of nonheme iron [5].

For infants from birth to 6 months, the FNB established an AI for iron that is equivalent to the mean intake of iron in healthy, breastfed infants.

Table 1: Recommended Dietary Allowances (RDAs) for Iron [5]
Age	Male	Female	Pregnancy	Lactation
Birth to 6 months	0.27 mg*	0.27 mg*	 	 
7–12 months	11 mg	11 mg	 	 
1–3 years	7 mg	7 mg	 	 
4–8 years	10 mg	10 mg	 	 
9–13 years	8 mg	8 mg	 	 
14–18 years	11 mg	15 mg	27 mg	10 mg
19–50 years	8 mg	18 mg	27 mg	9 mg
51+ years	8 mg	8 mg"
what tier drug is methylphenidate,DEA Schedule: CII
"tramadol ""milligrams?""","Adults (17 years of age and over): For patients with moderate to moderately severe chronic pain not requiring rapid onset of analgesic effect, the tolerability of tramadol hydrochloride can be improved by initiating therapy with a titration regimen. The total daily dose may be increased by 50 mg as tolerated every 3 days to reach 200 mg/day (50 mg q.i.d.). After titration, tramadol hydrochloride tablets 50 mg to 100 mg can be administered as needed for pain relief every four to six hours, not to exceed 400 mg per day."
do ursodiol and coconut oil mix?,No answers
"what help withdrawal ""fom."" hydrocodone 10 325",Narcotics Anonymous (N.A.) assists people who want to stop abusing prescription or illegal drugs. Find a meeting center or online support group by searching for the local helpline or website for the area where the meeting is located.
how to combine dapaliflozin with metformin,"Xigduo® XR (containing Dapagliflozin, Metformin)"
what is xanax,"XANAX Tablets contain alprazolam which is a triazolo analog of the 1,4 benzodiazepine class of central nervous system-active compounds. The chemical name of alprazolam is 8-Chloro-1-methyl-6-phenyl-4H-s-triazolo [4,3-α] [1,4] benzodiazepine."
when you stop taking spironolactone do you bleed,"If you stop taking it suddenly: If you stop taking this drug, you may start retaining water. You may also have a sudden increase in your blood pressure. This can lead to a heart attack or stroke."
how to stop using estradiol patch,"Attempts to taper or discontinue the medication should be made at 3 to 6 month intervals.

Estradiol transdermal system (twice-weekly) may be given continuously in patients who do not have an intact uterus. In those patients with an intact uterus, estradiol transdermal system (twice-weekly) may be given on a cyclic schedule (for example, 3 weeks on drug followed by 1 week off drug)."
how long does polyethylene glycol stay good,Expiration Dates - Questions and Answers …
"pantoprazole can it be taken ""plavix?""","Avoid concomitant use of Plavix with omeprazole or esomeprazole. In clinical studies, omeprazole was shown to reduce significantly the antiplatelet activity of Plavix when given concomitantly or 12 hours apart. A similar reduction in antiplatelet activity was observed with esomeprazole when given concomitantly with Plavix. Dexlansoprazole, lansoprazole, and pantoprazole had less effect on the antiplatelet activity of Plavix than did omeprazole or esomeprazole"
how long after steroids to see results,"You may have heard of anabolic steroids, which can have harmful effects. But there's another type of steroid - sometimes called a corticosteroid - that treats a variety of problems. These steroids are similar to hormones that your adrenal glands make to fight stress associated with illnesses and injuries. They reduce inflammation and affect the immune system."
what medications can you not take with grapefruit,"Here are examples of some types of drugs that grapefruit juice can cause problems with (interact):

Some statin drugs to lower cholesterol, such as Zocor (simvastatin) and Lipitor (atorvastatin).
Some drugs that treat high blood pressure, such as Procardia and Adalat CC (both nifedipine).
Some organ-transplant rejection drugs, such as Sandimmune and Neoral (both cyclosporine).
Some anti-anxiety drugs, such as buspirone.
Some corticosteroids that treat Crohn’s disease or ulcerative colitis, such as Entocort EC and Uceris (both budesonide).
Some drugs that treat abnormal heart rhythms, such as Pacerone and Nexterone (both amiodarone).
Some antihistamines, such as Allegra (fexofenadine)."
drug therapyof gastritis when taking diclofenac sodium,"When taken for a long time, painkillers like diclofenac and ibuprofen can lead to ulcers in the stomach and duodenum. But the risk of this happening can be clearly reduced by also taking medication to protect your stomach. || Various medications can lower the risk of getting a peptic ulcer. These include, in particular, drugs called proton pump inhibitors (PPIs) and H2 blockers. Both of these types of drugs reduce the production of stomach acid. In Germany, the most commonly used PPIs are omeprazole and pantoprazole. The H2 blocker that is normally used is ranitidine.

The hormone-like drug misoprostol is sometimes used too, although less often. One of the things misoprostol does is increase the production of gastric (stomach) mucus, which helps protect the stomach wall. In Germany, misoprostol is available as a combination drug together with the painkiller diclofenac."
"what is an esi shot in the ""back?"" epidural steroids shot in the ""back?""","An epidural steroid injection (ESI) is a minimally invasive procedure that can help relieve neck, arm, back, and leg pain caused by inflamed spinal nerves due to spinal stenosis or disc herniation. Medicines are delivered to the epidural space, which is a fat-filled area between the bone and the protective sac of the spinal nerves."
what is triamcinolone acetonide used for,Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
how opioids reduce pain,"Opioids bind to and activate opioid receptors on cells located in many areas of the brain, spinal cord, and other organs in the body, especially those involved in feelings of pain and pleasure. When opioids attach to these receptors, they block pain signals sent from the brain to the body and release large amounts of dopamine throughout the body."
what opioid is in the bupropion patch,Active Ingredient/Active Moiety: Ingredient Name buprenorphine (UNII: 40D3SCR4GZ) (buprenorphine - UNII:40D3SCR4GZ)
what would a normal dose be for valacyclovir,"Cold Sores (Herpes Labialis): The recommended dosage of valacyclovir tablets for treatment of cold sores is 2 grams twice daily for 1 day taken 12 hours apart. Therapy should be initiated at the earliest symptom of a cold sore (e.g., tingling, itching, or burning).

Genital Herpes:

Initial Episode: The recommended dosage of valacyclovir tablets for treatment of initial genital herpes is 1 gram twice daily for 10 days. Therapy was most effective when administered within 48 hours of the onset of signs and symptoms."
what does the clotrimazole pill look like,Product Characteristics Color white Score no score Shape ROUND Size 16mm Imprint Code 54;552
how long for donepezil to show in your blood,"Based on population pharmacokinetic analysis of plasma donepezil concentrations measured in patients with Alzheimer's disease, following oral dosing, peak plasma concentration is achieved in 3 hours for donepezil hydrochloride 10 mg tablets."
how dextroamphetamine works,"Dextroamphetamine is used as part of a treatment program to control symptoms of attention deficit hyperactivity disorder (ADHD; more difficulty focusing, controlling actions, and remaining still or quiet than other people who are the same age) in adults and children. Dextroamphetamine is also used to treat narcolepsy (a sleep disorder that causes excessive daytime sleepiness and sudden attacks of sleep). Dextroamphetamine is in a class of medications called central nervous system stimulants. It works by changing the amounts of certain natural substances in the brain."
ok to use expired lidocaine patches??,"A 2006 study of 122 drugs tested by the program showed that two-thirds of the expired medications were stable every time a lot was tested. Each of them had their expiration dates extended, on average, by more than four years, according to research published in the Journal of Pharmaceutical Sciences.

Some that failed to hold their potency include the common asthma inhalant albuterol, the topical rash spray diphenhydramine, and a local anesthetic made from lidocaine and epinephrine, the study said"
wean off tegretol?,"As with all antiepileptic drugs, Tegretol should be withdrawn gradually to minimize the potential of increased seizure frequency."
"what color are the pills for levodopa carbidopa for ""50/200"" mg extended relief","The 50 mg/200 mg tablet is supplied as an oval, scored, biconvex, compressed tablet that is peach to light peach colored."
how long after teeth treatment can you start zoledronic acid infection,"Routine dental treatment generally should not be modified solely on the basis of oral bisphosphonate therapy. However, patients with possible risk factors for BON may benefit from assessment by an expert in metabolic bone diseases. These risk factors may include concomitant use of estrogen or glucocorticoids, older age (over 65 years) and prolonged use of bisphosphonates."
what are iron injections,Iron sucrose injection is used treat iron-deficiency anemia (a lower than normal number of red blood cells due to too little iron) in people with chronic kidney disease (damage to the kidneys which may worsen over time and may cause the kidneys to stop working). Iron sucrose injection is in a class of medications called iron replacement products. It works by replenishing iron stores so that the body can make more red blood cells.
how to pronounce chlordiazepoxide,pronounced as (klor dye az e pox' ide)
what is in flomax,Active Ingredient/Active Moiety TAMSULOSIN HYDROCHLORIDE (UNII: 11SV1951MR) (tamsulosin - UNII:G3P28OML5I)  TAMSULOSIN HYDROCHLORIDE  0.4 mg
what is acebutolol hcl blue pill,"Acebutolol HCl, USP is a selective, hydrophilic beta-adrenoreceptor blocking agent with mild intrinsic sympathomimetic activity for use in treating patients with hypertension and ventricular arrhythmias. It is marketed in capsule form for oral administration."
what medications can induce hypo pigmentation of skin?,"The most common causes of drug-induced vitiligo are immune-modulating, biologic or targeted medicines. These medicines include:      Topical imiquimod     Interleukin (IL)-2, IL-4, and interferon     Tumour necrosis factor inhibitors: infliximab, adalimumab, and etanercept     The programmed death receptor inhibitors, pembrolizumab and nivolumab, used in metastatic melanoma (15% of treated patients develop vitiligo)     BRAF inhibitors: vemurafenib and dabrafenib     Tyrosine kinase inhibitors: imatinib and gefitinib.  Rare cases of drug-induced vitiligo have also been reported from:      Topical diphencyprone and squaric acid     Anticonvulsants     Levodopa     Antimalarials such as hydroxychloroquine     Other drugs.  Note: phenols that cause localised contact leukoderma, such as monobenzyl ether of hydroquinone, paraphenylenediamine and rhododendrol, may also cause generalised vitiligo in rare cases."
"can a patient stop using enalapril if the condition ""stabilize?""",Enalapril controls high blood pressure and heart failure but does not cure them. Continue to take enalapril even if you feel well. Do not stop taking enalapril without talking to your doctor.
gabapentin and pregabalin what is the difference?,"Lyrica (pregablin) and gabapentin (Neurontin) are anti-epileptic medications used to treat seizures and nerve pain (neuropathic pain).
Gabapentin also is used to treat nerve pain caused by shingles (herpes zoster). || Side effects of gabapentin that are different from Lyrica include:
Difficulty speaking
Viral infections
Fever
Unusual eye movements
Jerky movements
|| Side effects of Lyrica that are different from gabapentin include:
Dry mouth
Constipation
Swelling (edema)
Breast enlargement
Weight gain"
"why ""shouldn't"" i take gemfibrozil while taking lovastatin?","Strong inhibitors of CYP3A4: Lovastatin, like several other inhibitors of HMG-CoA reductase, is a substrate of cytochrome P450 3A4 (CYP3A4). Certain drugs which inhibit this metabolic pathway can raise the plasma levels of lovastatin and may increase the risk of myopathy. These include itraconazole, ketoconazole, posaconazole, voriconazole, the macrolide antibiotics erythromycin and clarithromycin, the ketolide antibiotic telithromycin, HIV protease inhibitors, boceprevir, telaprevir, the antidepressant nefazodone, or cobicistat-containing products. Combination of these drugs with lovastatin is contraindicated. If short-term treatment with strong CYP3A4 inhibitors is unavoidable, therapy with lovastatin should be suspended during the course of treatment (see CONTRAINDICATIONS; PRECAUTIONS, DRUG INTERACTIONS).

Gemfibrozil: The combined use of lovastatin with gemfibrozil should be avoided.

Other lipid-lowering drugs (other fibrates or greater than or equal to 1 g/day of niacin): Caution should be used when prescribing other fibrates or lipid-lowering doses (greater than or equal to 1 g/day) of niacin with lovastatin, as these agents can cause myopathy when given alone. The benefit of further alterations in lipid levels by the combined use of lovastatin with other fibrates or niacin should be carefully weighed against the potential risks of these combinations."
how long itching lasts after stopping doxycycline,"Doxycycline is virtually completely absorbed after oral administration.

Following a 200 mg dose, normal adult volunteers averaged peak serum levels of 2.6 mcg/mL of doxycycline at 2 hours, decreasing to 1.45 mcg/mL at 24 hours. Excretion of doxycycline by the kidney is about 40%/72 hours in individuals with normal function (creatinine clearance about 75 mL/min.). This percentage excretion may fall as low as 1–5%/72 hours in individuals with severe renal insufficiency (creatinine clearance below 10 mL/min.). Studies have shown no significant difference in serum half-life of doxycycline (range 18–22 hours) in individuals with normal and severely impaired renal function."
vaccine when pregnant,"Vaccines help keep your pregnant patients and their
  
growing families healthy."
if diclofenac is instilled in the wrong eye what happens,"Instill the missed dose as soon as you remember it. However, if it is almost time for the next dose, skip the missed dose and continue your regular dosing schedule. Do not instill extra eye drops to make up for a missed dose."
breo inhaler how it works,"To use the inhaler, follow these steps:
	1	If you will be using a new inhaler for the first time, remove it from the box and the foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks on the inhaler label with the date that you opened the pouch and the date 6 weeks later when you must replace the inhaler.
	2	When you are ready to inhale your dose, slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient."
how do botulinum toxin injections treat muscle conditions?,Targeted injection of botulinum toxin into muscles with the most tome can help to selectively weaken these muscles to improve range of motion and function.
what is barbiturates,"Barbiturates are sedative-hypnotic drugs that were once commonly used as sedatives or antianxiety medications. A physician must prescribe barbiturates; otherwise, their use is considered illicit. Among their limited uses, barbiturates are used to manage some seizure disorders as well as for pre-procedural sedation. In rarer instances, they are prescribed for the treatment of headache, anxiety and insomnia. However, their use in most areas of medicine has largely been supplanted by other safer medications. Barbiturates are controlled substances due to the potential they pose for abuse, physical dependence, and addiction. Some of the more common barbiturates include     Luminal (phenobarbital).     Brevital (methohexital).     Seconal (secobarbital).     Butisol (butabarbital).     Fiorinal (butalbital)."
how many milligrams in tramadol,"Each tablet, for oral administration contains 50 mg of tramadol hydrochloride and is white in color."
will anti viral drugs activate my angio edema condition?,"[Antiviral] Treatment was discontinued prematurely due to patient-reported adverse effects in 4 (0.8%) patients, including angioedema (n = 1) [0.2%]"
if i am allergic to sufa can i take glipizide?,"Glipizide is an oral blood-glucose-lowering drug of the sulfonylurea class. … Glipizide Tablets, USP are contraindicated in patients with: Known hypersensitivity to the drug."
marijuana is what schedule drug,"Cannabis , also known as marijuana, is a plant grown in many parts of the world which produces a resin containing compounds called cannabinoids. Some cannabinoids are psychoactive (acting on the brain and changing mood or consciousness) (see Question 1).
The use of Cannabis for medicinal purposes dates back to ancient times (see Question 3).
By federal law, the possession of Cannabis is illegal in the United States outside of approved research settings. However, a growing number of states, territories, and the District of Columbia have enacted laws to legalize medical marijuana (see Question 1).
In the United States, Cannabis is a controlled substance requiring special licensing for its use (see Question 1 and Question 3)."
"are you able to take guaifenesin if you have a heart ""transplant?""",Guaifenesin can be used in transplant recipients but should be used with caution in patients receiving kidney or lung transplants and in patients with renal impairment. Codeine combined with guaifenesin is another option for cough and can be used in most transplant patients although those with reduced renal function should be monitored carefully for adverse events.
what does bumetanide pill look like,Color - WHITE (White to off white); Shape - ROUND; Score - 2 pieces; Size - 11mm; Imprint Code - AC42
"when is gardasil ""contra indicated?""","Hypersensitivity, including severe allergic reactions to yeast (a vaccine component), or after a previous dose of GARDASIL 9 or GARDASIL [see Description (11)]."
what if meclizine does not work,"Meclizine is the generic name for the prescription drug called Antivert and the over-the-counter (OTC) medicines known as Dramamine and Bonine. Meclizine is used to treat motion sickness and dizziness.

The drug belongs to a class of drugs called antihistamines, which are generally used to treat allergies. However, meclizine works a little differently, reducing nausea and muscle spasms."
prevnar >65?,CDC recommends PCV13 for use in infants and young children and adults 65 years or older. Older children and adults younger than 65 years old who are at increased risk for getting pneumococcal disease may also need a dose of PCV13.
how to use lantus solostar insulin pen,"Important Administration Instructions
Administer LANTUS subcutaneously once daily at any time of day but at the same time every day.
Prior to initiation of LANTUS, train patients on proper use and injection technique.
Patient should follow the Instructions for Use to correctly administer LANTUS.
Administer LANTUS subcutaneously into the abdominal area, thigh, or deltoid, and rotate injection sites within the same region from one injection to the next to reduce the risk of lipodystrophy [see ADVERSE REACTIONS (6.1)].
Visually inspect LANTUS vials and SoloStar prefilled pens for particulate matter and discoloration prior to administration. Only use if the solution is clear and colorless with no visible particles.
Refrigerate unused (unopened) LANTUS vials and SoloStar® prefilled pens.
Do not administer intravenously or via an insulin pump.
Do not dilute or mix LANTUS with any other insulin or solution.
The SoloStar prefilled pen is for single patient use only"
how often should adult take pneumonia vaccine,"CDC recommends pneumococcal vaccination (PCV13 or Prevnar13®, and PPSV23 or Pneumovax23®) for all adults 65 years or older:
Give a dose of PCV13 to adults 65 years or older who have not previously received a dose. Then administer a dose of PPSV23 at least 1 year later.
If the patient already received one or more doses of PPSV23, give the dose of PCV13 at least 1 year after they received the most recent dose of PPSV23."
how do you pronounce prednisolone,\pred-ˈni-sə-ˌlōn  \
what color is the clonazepam,yellow
pneumococcal vaccine how often?,The pneumococcal conjugate vaccine (PCV13 or Prevnar 13®) protects against 13 types of pneumococcal bacteria. CDC recommends PCV13 for use in infants and young children and adults 65 years or older. Older children and adults younger than 65 years old who are at increased risk for getting pneumococcal disease may also need a dose of PCV13.
what is actonel prescribed for?,Postmenopausal Osteoporosis ... Osteoporosis in Men ... Glucocorticoid-Induced Osteoporosis ... Paget’s Disease …
how long is oxycodone expired,No answers
what color metoprolol,Product Characteristics Color WHITE Score 2 pieces Shape OVAL (Capsule-Shaped) Size 11mm Flavor Imprint Code M
will citalopram exacerbate heart arrhythmias?,"QT-Prolongation and Torsade de Pointes: Citalopram causes dose-dependent QTc prolongation, an ECG abnormality that has been associated with Torsade de Pointes (TdP), ventricular tachycardia, and sudden death, all of which have been observed in postmarketing reports for citalopram.... [whole subsection]"
can spironolactone e used when talking furosemide,"The combination product, in a daily dose of 1 or 2 capsules, was found useful and well tolerated in the management of congestive heart failure."
does doxycycline contain resin and shellac in it. ?,"INACTIVE INGREDIENTS:
SILICON DIOXIDE 
STARCH, CORN 
CROSCARMELLOSE SODIUM 
DOCUSATE SODIUM  
SODIUM BENZOATE 	 
MAGNESIUM STEARATE 	 
CELLULOSE, MICROCRYSTALLINE  
FD&C BLUE NO. 2  
FD&C YELLOW NO. 6 
HYPROMELLOSES 	 
POLYETHYLENE GLYCOLS 
TITANIUM DIOXIDE"
what is the dosage for betamethasone,"Apply a thin film of Betamethasone Dipropionate Cream or Ointment to the affected skin areas once daily. In some cases, twice daily dosage may be necessary. Apply a few drops of Betamethasone Dipropionate Lotion to the affected skin areas and massage lightly until it disappears. Apply twice daily, in the morning and at night."
"is there danger in stopping sertraline form ""days?""","Discontinuation of Treatment with Sertraline

Symptoms associated with discontinuation of sertraline and other SSRIs and SNRIs, have been reported (see PRECAUTIONS). Patients should be monitored for these symptoms when discontinuing treatment. A gradual reduction in the dose rather than abrupt cessation is recommended whenever possible. If intolerable symptoms occur following a decrease in the dose or upon discontinuation of treatment, then resuming the previously prescribed dose may be considered. Subsequently, the physician may continue decreasing the dose but at a more gradual rate."
how to prep and administer insulin,"Humulin R U-100 may be administered by subcutaneous injection in the abdominal wall, the thigh, the gluteal region or in the upper arm. Subcutaneous injection into the abdominal wall ensures a faster absorption than from other injection sites. Injection into a lifted skin fold minimizes the risk of intramuscular injection. Injection sites should be rotated within the same region. As with all insulin, the duration of action will vary according to the dose, injection site, blood flow, temperature, and level of physical activity. Intravenous administration of Humulin R U-100 is possible under medical supervision with close monitoring of blood glucose and potassium levels to avoid hypoglycemia and hypokalemia. For intravenous use, Humulin R U-100 should be used at concentrations from 0.1 unit/mL to 1 unit/mL in infusion systems with the infusion fluids 0.9% sodium chloride using polyvinyl chloride infusion bags."
what is the dose for vit b12 tabet?,"When taken at appropriate doses, vitamin B-12 supplements are generally considered safe. While the recommended daily amount of vitamin B-12 for adults is 2.4 micrograms, you can safely take higher doses. Your body absorbs only as much as it needs, and any excess passes through your urine."
how many cc of lidocaine is a dose?,"For symptomatic treatment of irritated or inflamed mucous membranes of the mouth and pharynx, the usual adult dose is 15 mL undiluted."
"do i take over the counter calcium with ""alendronate?""","Co-administration of alendronate sodium and calcium, antacids, or oral medications containing multivalent cations will interfere with absorption of alendronate sodium. Therefore, instruct patients to wait at least one-half hour after taking alendronate sodium before taking any other oral medications."
what color is phenytoin,WHITE
can clots still occur when taking rivaroxaban,Rivaroxaban works by decreasing the clotting ability of the blood.
does enalaprilat is used for treat stroke?,"Enalaprilat injection, USP is indicated for the treatment of hypertension when oral therapy is not practical."
what milagrams olanzapine come in,"Olanzapine Tablets USP, 20 mg are white, film coated, oval, biconvex tablets with “R” 20
debossed on one side and “0168” on other side."
what foods should a person taking warfarin eat,"Eat a normal, healthy diet. Some foods and beverages, particularly those that contain vitamin K, can affect how warfarin works for you. Ask your doctor or pharmacist for a list of foods that contain vitamin K. Eat consistent amounts of vitamin K-containing food on a week-to-week basis. Do not eat large amounts of leafy, green vegetables or certain vegetable oils that contain large amounts of vitamin K. Be sure to talk to your doctor before you make any changes in your diet. Talk to your doctor about eating grapefruit and drinking grapefruit juice while taking this medication."
what is nicoderm,"reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking"
what is the expiration time for fluorouracil topical cream,"The recommended shelf life of Efudix cream is 60 months.

Shelf life after first opening the immediate packaging: 90 days for the 20g and 40g tubes."
what is a beta blocker,"Beta blockers, also known as beta-adrenergic blocking agents, are medications that reduce your blood pressure. Beta blockers work by blocking the effects of the hormone epinephrine, also known as adrenaline.

When you take beta blockers, your heart beats more slowly and with less force, thereby reducing blood pressure. Beta blockers also help blood vessels open up to improve blood flow.

Some beta blockers mainly affect your heart, while others affect both your heart and your blood vessels. Which one is best for you depends on your health and the condition being treated."
where yo get tetanus shots,"Getting vaccinated is convenient — you can get most recommended vaccines at your doctor’s office. Many recommended vaccines are also available at local pharmacies, health centers, health departments, and travel clinics. Below you’ll find information and tools to help you find out where to get vaccinated near you — and some tips for making an appointment."
nitroglycerin how it works,"The principal pharmacological action of nitroglycerin is relaxation of vascular smooth muscle and consequent dilatation of peripheral arteries and veins, especially the latter. Dilatation of the veins promotes peripheral pooling of blood and decreases venous return to the heart, thereby reducing left ventricular end-diastolic pressure and pulmonary capillary wedge pressure (preload). Arteriolar relaxation reduces systemic vascular resistance, systolic arterial pressure, and mean arterial pressure (afterload). Dilatation of the coronary arteries also occurs. The relative importance of preload reduction, afterload reduction, and coronary dilatation remains undefined."
"trospium chloride in patients with neurogenic detrusor ""over activity:"" is dose titration of benefit to the ""patients?""","The recommended dose is 20 mg twice daily. Trospium chloride tablets should be dosed at least one hour before meals or given on an empty stomach. 

Dosage modification is recommended in the following patient populations:

For patients with severe renal impairment (creatinine clearance less than 30 mL/min), the recommended dose is 20 mg once daily at bedtime [see WARNINGS AND PRECAUTIONS (5.5), USE IN SPECIFIC POPULATIONS (8.6), and CLINICAL PHARMACOLOGY (12.3)].
In geriatric patients greater than or equal to 75 years of age, dose may be titrated down to 20 mg once daily based upon tolerability [see USE IN SPECIFIC POPULATIONS (8.5)]."
can i take doxepin and prexum together?,No answers
whats zithromax,"What is ZITHROMAX?

ZITHROMAX is a macrolide antibiotic prescription medicine used in adults 18 years or older to treat certain infections caused by certain germs called bacteria. These bacterial infections include:

acute worsening of chronic bronchitis
acute sinus infection
community-acquired pneumonia
infected throat or tonsils
skin infections
infections of the urethra or cervix
genital ulcers in men
ZITHROMAX is also used in children to treat:

ear infections
community-acquired pneumonia
infected throat or tonsils"
how to stop taking xanax,"Because of the danger of withdrawal, abrupt discontinuation of treatment should be avoided (see WARNINGS, PRECAUTIONS, DRUG ABUSE AND DEPENDENCE). In all patients, dosage should be reduced gradually when discontinuing therapy or when decreasing the daily dosage. Although there are no systematically collected data to support a specific discontinuation schedule, it is suggested that the daily dosage be decreased by no more than 0.5 mg every three days. Some patients may require an even slower dosage reduction. In any case, reduction of dose must be undertaken under close supervision and must be gradual. If significant withdrawal symptoms develop, the previous dosing schedule should be reinstituted and, only after stabilization, should a less rapid schedule of discontinuation be attempted. In a controlled postmarketing discontinuation study of panic disorder patients which compared this recommended taper schedule with a slower taper schedule, no difference was observed between the groups in the proportion of patients who tapered to zero dose; however, the slower schedule was associated with a reduction in symptoms associated with a withdrawal syndrome. It is suggested that the dose be reduced by no more than 0.5 mg every 3 days, with the understanding that some patients may benefit from an even more gradual discontinuation. Some patients may prove resistant to all discontinuation regimens."
