Question,Focus (Drug),Question Type,Answer,Section Title,URL
metoclopramide how supplied,metoclopramide,Information,"XACTDOSE™ Metoclopramide Oral Solution USP, 5 mg/5 mL, is a clear, sugar-free liquid with a butterscotch flavor. Each 5 mL contains 5 mg Metoclopramide (present as the hydrochloride) and is available as follows: NDC 66689-031-50: 10 mg/10 mL unit dose cups, packaged in cartons of 50 (5 trays of 10 unit dose cups each)",HOW SUPPLIED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=59abd52d-8172-44a3-baa2-fe1fe20f78c0
metoclopramide how supplied,metoclopramide,Information,"Each white to off white, capsule shaped biconvex metoclopramide tablets, USP with ""RF11"" embossed on one side & score line on the other side contains 10 mg of metoclopramide base as metoclopramide hydrochloride, USP. Available in: Bottle of 30 tablets NDC 63304-846-30; Bottle of 100 tablets NDC 63304-846-01; Bottle of 500 tablets NDC 63304-846-05; Bottle of 1000 tablets NDC 63304-846-10. Each white to off white, oval shaped biconvex tablets metoclopramide tablets, USP with ""RF10"" embossed on one side and plain on the other side contains 5 mg of metoclopramide base as metoclopramide hydrochloride, USP. Available in Bottles of 30 tablets NDC 63304-845-30; Bottle of 100 tablets NDC 63304-845-01; Bottle of 500 tablets NDC 63304-845-05; Bottle of 1000 tablets NDC 63304-845-10",HOW SUPPLIED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9daf95f8-f326-4fb0-8a14-022999c9fdeb
"why finasteride is not allowed by prostate ""cancer?""",finasteride,Contraindication,"Used for symptomatic treatment of BPH and male pattern baldness (i.e., androgenetic alopecia)
May decrease risk of low-grade prostate cancer; but, may increase risk of more serious high-grade prostate cancer",finasteride - Drug Summary,https://www.pdr.net/drug-summary/Proscar-finasteride-380
when teeth have been treated how lon after do yohave to wait to have zoledronic acid injection,zoledronic acid,Contraindication,"Routine dental treatment generally should not be modified solely on the basis of oral bisphosphonate therapy. However, patients with possible risk factors for BON may benefit from assessment by an expert in metabolic bone diseases. These risk factors may include concomitant use of estrogen or glucocorticoids, older age (over 65 years) and prolonged use of bisphosphonates.",EXPERT PANEL CLINICAL RECOMMENDATIONS FOR MANAGING PATIENTS RECEIVING ORAL BISPHOSPHONATE THERAPY,https://jada.ada.org/article/S0002-8177(14)64960-6/pdf
are there antibiotics for cold symtoms?,antibiotics,Indication,"The list of ineffective cold remedies is long. Some of the more common ones that don't work include: Antibiotics. These attack bacteria, but they're no help against cold viruses.",,https://www.mayoclinic.org/diseases-conditions/common-cold/in-depth/cold-remedies/ART-20046403?p=1
how many years will the viagra pill be potent,Viagra,Storage and disposal,Expiration Dates - Questions and Answers …,,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/Manufacturing/ucm605559.htm
how to stop taking xanax,xanax,Stopping/tapering,"Because of the danger of withdrawal, abrupt discontinuation of treatment should be avoided (see WARNINGS, PRECAUTIONS, DRUG ABUSE AND DEPENDENCE). In all patients, dosage should be reduced gradually when discontinuing therapy or when decreasing the daily dosage. Although there are no systematically collected data to support a specific discontinuation schedule, it is suggested that the daily dosage be decreased by no more than 0.5 mg every three days. Some patients may require an even slower dosage reduction. In any case, reduction of dose must be undertaken under close supervision and must be gradual. If significant withdrawal symptoms develop, the previous dosing schedule should be reinstituted and, only after stabilization, should a less rapid schedule of discontinuation be attempted. In a controlled postmarketing discontinuation study of panic disorder patients which compared this recommended taper schedule with a slower taper schedule, no difference was observed between the groups in the proportion of patients who tapered to zero dose; however, the slower schedule was associated with a reduction in symptoms associated with a withdrawal syndrome. It is suggested that the dose be reduced by no more than 0.5 mg every 3 days, with the understanding that some patients may benefit from an even more gradual discontinuation. Some patients may prove resistant to all discontinuation regimens.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=388e249d-b9b6-44c3-9f8f-880eced0239f
what drug reverses the effect of heparin,heparin,Overdose,"When clinical circumstances (bleeding) require reversal of heparinization, protamine sulfate (1% solution) by slow infusion will neutralize heparin sodium.",OVERDOSAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e1ce1b9e-332b-4f1c-89c7-27071d3101ef
what are the active incredience in balsalazide,balsalazide,Ingredient,BALSALAZIDE DISODIUM,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=93064dc5-6748-4876-a32c-156438b09ac7
does enalaprilat is used for treat stroke?,enalaprilat,Indication,"Enalaprilat injection, USP is indicated for the treatment of hypertension when oral therapy is not practical.",INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eabae489-e254-4987-ab90-7cda20a6f856
how to group of mebendazole,mebendazole,Information,"Mebendazole is used to treat several types of worm infections. Mebendazole (Vermox) is used to treat roundworm and whipworm infections. Mebendazole (Emverm) is used to treat pinworm, whipworm, roundworm, and hookworm infections. Mebendazole is in a class of medications called anthelmintics. It works by killing the worms.",Why is this medication prescribed?,https://medlineplus.gov/druginfo/meds/a682315.html
why did my doctor give me levetiracetam what is use for,levetiracetam,Indication,Levetiracetam Extended-release Tablets is indicated as adjunctive therapy in the treatment of partial onset seizures in patients 12 years of age and older with epilepsy.,INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aeb36add-e083-49be-9c3c-e76593c70d61
what is divalproex,divalproex,Information,Divalproex sodium USP is a stable co-ordination compound comprised of sodium valproate and valproic acid in a 1:1 molar relationship and formed during the partial neutralization of valproic acid with 0.5 equivalent of sodium hydroxide. Chemically it is designated as sodium hydrogen bis(2-propylpentanoate).,DESCRIPTION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f911748c-fb3a-fe1a-ab2a-4b40455e05ef
what is divalproex,divalproex,Information,"Divalproex sodium delayed-release capsules are indicated as monotherapy and adjunctive therapy in the treatment of adult patients and pediatric patients down to the age of 10 years with complex partial seizures that occur either in isolation or in association with other types of seizures. Divalproex sodium delayed-release capsules are also indicated for use as sole and adjunctive therapy in the treatment of simple and complex absence seizures, and adjunctively in patients with multiple seizure types that include absence seizures. ",INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f911748c-fb3a-fe1a-ab2a-4b40455e05ef
what medicines should not be taken with gabapentine,gabapentin,Interaction,"Although certain medicines should not be used together at all, in other cases two different medicines may be used together even if an interaction might occur. In these cases, your doctor may want to change the dose, or other precautions may be necessary. When you are taking this medicine, it is especially important that your healthcare professional know if you are taking any of the medicines listed below. The following interactions have been selected on the basis of their potential significance and are not necessarily all-inclusive.  Using this medicine with any of the following medicines is usually not recommended, but may be required in some cases. If both medicines are prescribed together, your doctor may change the dose or how often you use one or both of the medicines.      Calcifediol     Orlistat  Using this medicine with any of the following medicines may cause an increased risk of certain side effects, but using both drugs may be the best treatment for you. If both medicines are prescribed together, your doctor may change the dose or how often you use one or both of the medicines.      Aluminum Carbonate, Basic     Aluminum Hydroxide     Aluminum Phosphate     Dihydroxyaluminum Aminoacetate     Dihydroxyaluminum Sodium Carbonate     Ginkgo     Magaldrate     Magnesium Carbonate     Magnesium Hydroxide     Magnesium Oxide     Magnesium Trisilicate     Morphine     Morphine Sulfate Liposome",Drug Interactions,https://www.mayoclinic.org/drugs-supplements/gabapentin-oral-route/before-using/drg-20064011
what strengths do valproic acid come in meds come in,valproic acid,Dose,"Valproic Acid Capsules, USP are supplied as 250 mg off-white colored soft gelatin capsules, imprinted with ""U-S 250"", packaged in bottles containing 100.",DOSAGE FORMS AND STRENGTHS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7d4df6ad-3d53-4664-9200-749487bf3689
what strengths do valproic acid come in meds come in,valproic acid,Dose,Valproic acid is available as a red oral solution containing the equivalent of 250 mg valproic acid per 5 mL as the sodium salt in bottles of 16 ounces.,DOSAGE FORMS AND STRENGTHS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d49fc909-1e02-4e51-b957-45540d678dde
what is the dosage for betamethasone,betamethasone,Dose,"Apply a thin film of Betamethasone Dipropionate Cream or Ointment to the affected skin areas once daily. In some cases, twice daily dosage may be necessary. Apply a few drops of Betamethasone Dipropionate Lotion to the affected skin areas and massage lightly until it disappears. Apply twice daily, in the morning and at night.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=97dde5f5-a865-4af2-b562-8da72c8475f3
tranexamic acid how fast does it work,tranexamic acid,Action/time,"After a single oral administration of two 650 mg tablets of tranexamic acid, the peak plasma concentration (Cmax) occurred at approximately 3 hours (Tmax). The absolute bioavailability of tranexamic acid tablets in women aged 18-49 is approximately 45%. Following multiple oral doses (two 650 mg tablets three times daily) administration of tranexamic acid tablets for 5 days, the mean Cmax increased by approximately 19% and the mean area under the plasma concentration-time curve (AUC) remained unchanged, compared to a single oral dose administration (two 650 mg tablets). Plasma concentrations reached steady state at the 5th dose of tranexamic acid tablets on Day 2.",CLINICAL PHARMACOLOGY,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=031bf7c2-3b07-469d-bc5a-31fc6238e25f
show me the stages of oxycodone 15 milligram hcl,oxycodone,Information,Stages of Opiate Withdrawal …,,https://desertcoverecovery.com/blog/stages-of-opiate-withdrawal/
what is asa ec,ASA EC,Information,Acetylsalicylic acid [Aspirin] … Enteric coated tablet … Asa EC,,https://www.drugbank.ca/drugs/DB00945
glucosamine make glacoma worst?,glucosamine,Side effects,"In general, glucosamine and chondroitin are thought to be safe. However, as with any medication, there are potential risks. ... A small 2013 study found that taking glucosamine may increase the risk of glaucoma, a condition that can threaten vision if not treated.",And what about the downsides?,https://www.health.harvard.edu/blog/the-latest-on-glucosaminechondroitin-supplements-2016101710391
"when used as a rinse, how big should the amount of lidocaine used",lidocaine rinse,Dose,"Lidocaine viscous comes as a thick liquid and should be shaken well before using. Lidocaine viscous usually is used as needed but not more frequently than every 3 hours, with a maximum of 8 doses in 24 hours. In children under 3 years of age, do not use more frequently than every 3 hours, with a maximum of 4 doses in 12 hours. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use lidocaine exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor.",How should this medicine be used?,https://medlineplus.gov/druginfo/meds/a682701.html
how long does polyethylene glycol stay good,polyethylene glycol,Storage and disposal,Expiration Dates - Questions and Answers …,,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/Manufacturing/ucm605559.htm
what does bumetanide pill look like,bumetanide,Appearance,Color - WHITE (White to off white); Shape - ROUND; Score - 2 pieces; Size - 6mm; Imprint Code - A16,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9188ab17-8539-48a5-905f-ad35ab5a0b93
what does bumetanide pill look like,bumetanide,Appearance,Color - WHITE (White to off white); Shape - ROUND; Score - 2 pieces; Size - 8mm; Imprint Code - AC41,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9188ab17-8539-48a5-905f-ad35ab5a0b93
what does bumetanide pill look like,bumetanide,Appearance,Color - WHITE (White to off white); Shape - ROUND; Score - 2 pieces; Size - 11mm; Imprint Code - AC42,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9188ab17-8539-48a5-905f-ad35ab5a0b93
how to stop using estradiol transdermal system patch,estradiol transdermal patch,Stopping/tapering,"There's no limit on how long you can take HRT, but talk to your GP about the duration of treatment they recommend. Most women stop taking it once their menopausal symptoms pass, which is usually after a few years. When you decide to stop, you can choose to do so suddenly or gradually. Gradually decreasing your HRT dose is usually recommended because it's less likely to cause your symptoms to come back in the short term. Contact your GP if you have symptoms that persist for several months after you stop HRT, or if you have particularly severe symptoms. You may need to start HRT again.",Stopping HRT,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
how to stop taking bisoprolol,bisoprolol,Stopping/tapering,"Abrupt Cessation of Therapy: Exacerbation of angina pectoris, and, in some instances, myocardial infarction or ventricular arrhythmia, have been observed in patients with coronary artery disease following abrupt cessation of therapy with beta-blockers. Such patients should, therefore, be cautioned against interruption or discontinuation of therapy without the physician's advice. Even in patients without overt coronary artery disease, it may be advisable to taper therapy with BISOPROLOL FUMARATE over approximately one week with the patient under careful observation. If withdrawal symptoms occur, BISOPROLOL FUMARATE therapy should be reinstituted, at least temporarily.",WARNINGS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4f20df45-3f9c-4a91-b394-e93a08111ec3
can i have allergie test when taking methylprednisolone?,methylprednisolone,Side effects,May suppress reactions to skin tests,ADVERSE REACTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7bf4d3d3-3f8a-4e20-9194-061658efca61
"what is the difference between gabbentibe lyrica ""?"" for pain",gabapentin and Lyrica,Comparison,"Though pregabalin and gabapentin have somewhat similar pharmacokinetic and pharmacodynamic profiles, there are clearly significant differences. Overall, pregabalin has more predictable pharmacokinetics, and it also shows a stronger binding affinity to its target receptor, increased potency, and a steeper dose-response curve in neuropathic pain that does not plateau over recommended dosing levels. A few studies have found that pregabalin has fewer side effects and may be more efficacious for neuropathic pain than gabapentin. Several studies reviewing conversion of gabapentin to pregabalin predict that a rough ratio for conversion is about 6:1 gabapentin to pregabalin. In addition, a direct switch from gabapentin to pregabalin seems to be well tolerated, making the conversion simple. Clinicians should note that pregabalin has various pharmacokinetic and pharmacodynamic advantages over gabapentin, and a conversion between the 2 medications is often well tolerated.",Final thoughts,https://www.pharmacytimes.com/contributor/jeffrey-fudin/2015/09/how-gabapentin-differs-from-pregabalin?p=3
what's different opioid and opium,opioid and opium,Comparison,Opioids are a class of drugs naturally found in the opium poppy plant.,What are prescription opioids?,https://www.drugabuse.gov/publications/drugfacts/prescription-opioids
foods to avoid when taking metformin,metformin,Interaction,"While you do not need to avoid any foods when taking metformin, you may need to limit or avoid alcohol",,https://www.livestrong.com/article/40440-foods-avoid-metformin/
what is the lowest dose of hydrochlorothiazide,hydrochlorothiazide,Dose,For Edema: The usual adult dosage is 25 to 100 mg daily as a single or divided dose.,DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7b38ac8a-4540-4eb2-aedd-9aa966d22190
what is the lowest dose of hydrochlorothiazide,hydrochlorothiazide,Dose,For Control of Hypertension: The usual initial dose in adults is 25 mg daily given as a single dose.,DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7b38ac8a-4540-4eb2-aedd-9aa966d22190
how to wean off lamotrigine,lamotrigine,Stopping/tapering,"Unless safety concerns require a more rapid withdrawal, the dose of lamotrigine extended-release should be tapered over a period of at least 2 weeks (approximately 50% reduction per week)",WARNINGS AND PRECAUTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fb59c76a-9b6f-40ea-ac3a-58c3195c4377
what is amphetamine,amphetamine,Information,"Amphetamines are non-catecholamine, sympathomimetic amines with CNS stimulant activity.",CLINICAL PHARMACOLOGY,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=53d40847-e0d3-48ec-81a7-ec5478553565
what valacyclovir looks like in color shape,valacyclovir,Appearance,Color - blue; Shape - CAPSULE; Score - no score; Size - 17mm; Imprint Code - RX904,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51f93a1c-90d0-4cbc-90f7-6f1415efd673
what valacyclovir looks like in color shape,valacyclovir,Appearance,Color - blue; Shape - CAPSULE; Score - 2 pieces; Size - 21mm; Imprint Code - RX905,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51f93a1c-90d0-4cbc-90f7-6f1415efd673
what valacyclovir looks like in color shape,valacyclovir,Appearance,Color - WHITE; Shape - OVAL; Score - no score; Size - 16mm; Imprint Code - 54356,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e228913a-8f12-4a4f-bc14-ba44d6e9ece9
what valacyclovir looks like in color shape,valacyclovir,Appearance,Color - WHITE; Shape - OVAL; Score - 2 pieces; Size - 20mm; Imprint Code - 54518,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e228913a-8f12-4a4f-bc14-ba44d6e9ece9
"pantoprazole can it be taken ""plavix?""",pantoprazole and Plavix,Interaction,"Avoid concomitant use of Plavix with omeprazole or esomeprazole. In clinical studies, omeprazole was shown to reduce significantly the antiplatelet activity of Plavix when given concomitantly or 12 hours apart. A similar reduction in antiplatelet activity was observed with esomeprazole when given concomitantly with Plavix. Dexlansoprazole, lansoprazole, and pantoprazole had less effect on the antiplatelet activity of Plavix than did omeprazole or esomeprazole",Drug Interactions,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=01b14603-8f29-4fa3-8d7e-9d523f802e0b
what the interaction between trimethoprim blood pressure medication,trimethoprim and blood pressure medication,Interaction,"Hyperkalemia was first recognized during high-dose trimethoprim–sulfamethoxazole therapy for P. jiroveci, but it is increasingly appreciated as a potential complication at doses usually prescribed. … Hyperkalemia tends to develop after several days of therapy,32,34 and the risk factors predictably include … treatment with other drugs that inhibit kaliuresis such as angiotensin-converting enzyme (ACE) inhibitors, angiotensin receptor blockers36 and spironolactone.37 A recent population-based case–control study involving 439 677 patients taking ACE inhibitors or angiotensin receptor blockers found a sevenfold increased risk of hospital admission for hyperkalemia among those taking trimethoprim–sulfamethoxazole compared with those taking other antibiotics used for urinary tract infections.36 We suggest that physicians monitor patients for hyperkalemia following a few days of trimethoprim–sulfamethoxazole treatment at a standard dose, especially patients with impaired renal function, which may include older patients, those with diabetes or AIDS, and those also taking ACE inhibitors, angiotensin receptor blockers or spironolactone.",K: Hyperkalemia and other kidney effects,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3216436/
what antidepressants are best for someone with a heart arrhythmia,antidepressants,Indication,"A research team at Harvard-affiliated Massachusetts General Hospital has verified that several antidepressants may increase the risk of a potentially dangerous heart rhythm disturbance (arrhythmia). By examining the electrocardiograms (ECGs) of more than 38,000 people taking 11 different antidepressants, they confirmed that higher doses of citalopram (Celexa), amitriptyline (Elavil), and escitalopram (Lexapro) were associated with a slight disruption of the electrical function of the heart. This delay as seen on an ECG is known as a prolonged Q-T interval, and it is a risk factor for an arrhythmia that causes sudden death. Although the majority of people with this ECG abnormality never develop an arrhythmia, the researchers cautioned that people taking these antidepressants should discuss the risk with their doctor. The researchers emphasized that no one with a history of arrhythmias should start taking these medications. Instead, such a patient might try one of the antidepressants that do not increase the Q-T interval: fluoxetine (Prozac), paroxetine (Paxil), sertraline (Zoloft), or buproprion (Wellbutrin). The study was published Jan. 29, 2013, in the journal BMJ.",,https://www.health.harvard.edu/heart-health/antidepressants-and-arrhythmias
how does it take phentermine to clear a drug screen?,phentermine,Action/time,"Since phentermine has a similar structure to amphetamines, a urine drug screen can test positive for amphetamines. This will signal the need for a confirmatory test, which will then show that it was phentermine and not amphetamine or methamphetamine. The original result will then be ruled a false positive. If you have a prescription for phentermine, you should disclose that to the testing lab so your results can be appropriately interpreted. Phentermine is likely to be detected in the urine for one to four days after a dose, up to 24 hours in the blood, and up to one month in hair tests. The amount of phentermine detected in tests and how long it stays in your system is dependent on a number of factors. These include your age, the dose and how long you've been taking it, and your metabolism. For instance, a person of average build and metabolism can expect phentermine to be present in urine for three to five days. It may be faster for someone of a small build or longer for an older person.",Phentermine on Drug Tests,https://www.verywellmind.com/how-long-does-adipex-stay-in-your-system-80217
senna tablets what dose,senna,Dose,HOW SUPPLIED … DOSAGE & INDICATIONS ... MAXIMUM DOSAGE ... DOSING CONSIDERATIONS ... ADMINISTRATION …,HOW SUPPLIED … DOSAGE & INDICATIONS ... MAXIMUM DOSAGE ... DOSING CONSIDERATIONS ... ADMINISTRATION …,https://www.pdr.net/drug-summary/Senokot-sennosides-3182
what does vitamin a prevent,vitamin A,Indication,Vitamin A plays a role in your    Vision    Bone growth    Reproduction    Cell functions    Immune system,Summary,https://medlineplus.gov/vitamina.html
is 600mg of gabapentin considered a strong dose ? how high in my can it go?,gabapentin,Dose,"In adults with postherpetic neuralgia, gabapentin capsules therapy may be initiated as a single 300 mg dose on Day 1, 600 mg/day on Day 2 (divided BID), and 900 mg/day on Day 3 (divided TID). The dose can subsequently be titrated up as needed for pain relief to a daily dose of 1800 mg (divided TID). In clinical studies, efficacy was demonstrated over a range of doses from 1800 mg/day to 3600 mg/day with comparable effects across the dose range. Additional benefit of using doses greater than 1800 mg/day was not demonstrated.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0936a88f-b569-49c4-951b-14e8f6273b53
how is marijuana taken,marijuana,Usage,"Marijuana is a green, brown, or gray mix of dried, crumbled parts from the marijuana plant. It can be rolled up and smoked like a cigarette or cigar or smoked in a pipe. Sometimes people mix it in food or inhale it using a vaporizer.",Summary,https://medlineplus.gov/marijuana.html
what is supartz fx for knee,Supartz FX,Information,"SUPARTZ FX (also called a viscosupplement) is a non-surgical, non-pharmacologic therapy for knee osteoarthritis.... SUPARTZ FX therapy is an injectable solution made from highly purified sodium hyaluronate (also known as hyaluronic acid) that is extracted from chicken combs.",,http://www.supartzfx.com/what-is-supartz/
"lorcet ""7.5"" liquid whats in this",Lorcet 7.5 liquid,Ingredient,HYDROCODONE BITARTRATE (UNII: NO70W886KK) (HYDROCODONE - UNII:6YKS4Y3WQ7) HYDROCODONE BITARTRATE 7.5 mg  in 15 mL,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cba848e7-65fd-4b1a-ab56-50d865dcc251&audience=consumer
motoprolol pill how long before it takes affect,metoprolol,Action/time,"In man, absorption of metoprolol is rapid and complete. ... In comparison to conventional metoprolol, the plasma metoprolol levels following administration of metoprolol succinate extended-release tablets are characterized by lower peaks, longer time to peak and significantly lower peak to trough variation.",CLINICAL PHARMACOLOGY,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d948600-35d8-4490-983b-918bdce488c8
famotidine 10 mg?,famotidine 10 mg,Information,"relieves heartburn associated with acid indigestion and sour stomach
prevents heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain food and beverages",USES,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c7c0db88-6287-458a-abd1-c0ebf81f2337&audience=consumer
"is peppermint oil safe in ""mouth wash?""",peppermint oil,Side effects,"Peppermint oil appears to be safe when taken orally (by mouth) in the doses commonly used. Excessive doses of peppermint oil can be toxic.     Possible side effects of peppermint oil include allergic reactions and heartburn. Capsules containing peppermint oil are often enteric-coated to reduce the likelihood of heartburn. If enteric-coated peppermint oil capsules are taken at the same time as antacids, the coating can break down too quickly.     Like other essential oils, peppermint oil is highly concentrated. When the undiluted essential oil is used for health purposes, only a few drops are used.     Side effects of applying peppermint oil to the skin can include skin rashes and irritation. Peppermint oil should not be applied to the face or chest of infants or young children because serious side effects may occur if they inhale the menthol in the oil.     No harmful effects of peppermint leaf tea have been reported. However, the long-term safety of consuming large amounts of peppermint leaf is unknown.",What Do We Know About Safety?,https://nccih.nih.gov/health/peppermintoil
can alprazolam lower blood pressure?,alprazolam,Indication,Alprazolam is as effective as captopril in lowering BP in ED patients with an initial SBP > 160 mmHg.,ABSTRACT,https://www.ncbi.nlm.nih.gov/pubmed/21288144
what side effects would magnesium have on a woman taking dilantin?,magnesium and Dilantin,Interaction,Oral administration of MgO in a low dose (500 mg/kg) for 4 weeks in healthy rats appears to exert protective effect against MES. High oral doses of MgO (750 and 1000 mg/kg) appear to enhance the activity of phenytoin and carbamazepine in the MES model.,ABSTRACT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2846501/
what is acetylcholine how does it work,acetylcholine,Information,"Acetylcholine is the neurotransmitter at neuromuscular junctions, at synapses in the ganglia of the visceral motor system, and at a variety of sites within the central nervous system. Whereas a great deal is known about the function of cholinergic transmission at the neuromuscular junction and at ganglionic synapses, the actions of ACh in the central nervous system are not as well understood.",,https://www.ncbi.nlm.nih.gov/books/NBK11143/
what is acetylcholine how does it work,acetylcholine,Action,"Acetylcholine functions in both the central nervous system (CNS) and the peripheral nervous system (PNS). In the CNS, cholinergic projections from the basal forebrain to the cerebral cortex and hippocampus support the cognitive functions of those target areas. In the PNS, acetylcholine activates muscles and is a major neurotransmitter in the autonomic nervous system.",Functions,https://en.wikipedia.org/wiki/Acetylcholine
what are tne side effects of carprofen,carprofen,Side effects,"… vomiting (4%), diarrhea (4%), changes in appetite (3%), lethargy (1.4%), behavioral changes (1 %), and constipation (0.3%)….",ADVERSE REACTIONS,https://www.drugs.com/pro/carprofen.html#s-34084-4
lansoprazole long term use?,lansoprazole,Usage/duration,you may repeat a 14-day course every 4 months * do not take for more than 14 days or more often than every 4 months unless directed by a doctor,DIRECTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d86585b7-e146-4f04-9016-412b16e06f55
what is efudex?,Efudex,Information,"Efudex Solutions and Cream are topical preparations containing the fluorinated pyrimidine 5-fluorouracil, an antineoplastic antimetabolite.",DESCRIPTION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35de1c1c-bef5-46c5-b6f8-ea032147411c
what medications can induce hypo pigmentation of skin?,drugs that cause hypopigmentation,Side effects,"The most common causes of drug-induced vitiligo are immune-modulating, biologic or targeted medicines. These medicines include:      Topical imiquimod     Interleukin (IL)-2, IL-4, and interferon     Tumour necrosis factor inhibitors: infliximab, adalimumab, and etanercept     The programmed death receptor inhibitors, pembrolizumab and nivolumab, used in metastatic melanoma (15% of treated patients develop vitiligo)     BRAF inhibitors: vemurafenib and dabrafenib     Tyrosine kinase inhibitors: imatinib and gefitinib.  Rare cases of drug-induced vitiligo have also been reported from:      Topical diphencyprone and squaric acid     Anticonvulsants     Levodopa     Antimalarials such as hydroxychloroquine     Other drugs.  Note: phenols that cause localised contact leukoderma, such as monobenzyl ether of hydroquinone, paraphenylenediamine and rhododendrol, may also cause generalised vitiligo in rare cases.",What causes drug-induced vitiligo?,https://www.dermnetnz.org/topics/drug-induced-vitiligo/
does marijuana use lead to negative health outcomes?,marijuana,Side effects,"Marijuana can cause problems with memory, learning, and behavior. Smoking it can cause some of the same coughing and breathing problems as smoking cigarettes. Some people get addicted to marijuana after using it for a while. It is more likely to happen if they use marijuana every day, or started using it when they were teenagers.",Summary,https://medlineplus.gov/marijuana.html
what is salonpas made of,Salonpas,Ingredient,"SALONPAS- camphor, menthol, methyl salicylate patch",Label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=acdd5622-a9a7-4cc3-877e-57efea23303f&audience=consumer
